Month,Revenue,Expenses,Profit,Employee_Count,Customer_Satisfaction,Market_Share
2024-01,100000,60000,40000,50,4.5,15
2024-02,110000,62000,48000,52,4.6,16
2024-03,120000,65000,55000,55,4.7,17
2024-04,115000,64000,51000,54,4.5,16.5
2024-05,130000,68000,62000,58,4.8,18
2024-06,140000,70000,70000,60,4.9,19
2024-07,135000,69000,66000,59,4.7,18.5
2024-08,145000,72000,73000,62,4.9,20
2024-09,155000,75000,80000,65,5.0,21
2024-10,160000,77000,83000,67,4.9,21.5
2024-11,170000,80000,90000,70,5.0,22
2024-12,180000,82000,98000,72,5.0,23
